唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
TourismServiceSite_376490000A_001342,TourismServiceSite,Zh_tw,斗六火車站旅遊服務中心,"服務時間:週一至週五上午9時至下午6時，週六至週日及農曆春節(初一至初五)上午9時至下午7時，平、假日中午均無休息。


",(05)5346806,,雲林縣,斗六市,雲林縣斗六市民生路187號2樓,376490000A,雲林縣政府,4/13/2023 5:06:42 PM
TourismServiceSite_376530000A_000001,TourismServiceSite,Zh_tw,東港轉運站旅遊服務中心,,(08)8322789,,屏東縣,東港鎮,東津里船頭路3號,376530000A,屏東縣政府,9/16/2024 8:15:42 AM
TourismServiceSite_376530000A_000002,TourismServiceSite,Zh_tw,竹田驛站旅遊服務中心,,(08)7711221,,屏東縣,竹田鄉,履豐村豐明路27號,376530000A,屏東縣政府,9/16/2024 8:15:42 AM
TourismServiceSite_376530000A_000003,TourismServiceSite,Zh_tw,水門轉運站旅遊服務中心,,(08)7992262,,屏東縣,內埔鄉,水門村成功路251號,376530000A,屏東縣政府,9/16/2024 8:15:43 AM
TourismServiceSite_376530000A_000004,TourismServiceSite,Zh_tw,海口港旅遊服務中心,,(08)8825601,,屏東縣,車城鄉,海口村海口路1-12號,376530000A,屏東縣政府,9/16/2024 8:15:43 AM
TourismServiceSite_376530000A_000005,TourismServiceSite,Zh_tw,恆春轉運站旅服中心,,(08)8881542,,屏東縣,恆春鎮,中正路30號,376530000A,屏東縣政府,9/16/2024 8:15:43 AM
TourismServiceSite_376530000A_000006,TourismServiceSite,Zh_tw,潮州火車站旅服中心,,(08)7894224,,屏東縣,潮州鎮,信義路111號,376530000A,屏東縣政府,9/16/2024 8:15:43 AM
TourismServiceSite_376530000A_000007,TourismServiceSite,Zh_tw,屏東火車站旅服中心,,(08)7517621,,屏東縣,屏東市,公勇路62號,376530000A,屏東縣政府,9/16/2024 8:15:43 AM
TourismServiceSite_A15010000H_000001,TourismServiceSite,Zh_tw,桃園國際機場旅客服務中心-第一航廈,,(03)3982194,,桃園市,大園區,航站南路15號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000002,TourismServiceSite,Zh_tw,高雄國際機場旅客服務中心,,(07)8057888,,高雄市,小港區,中山四路2號（國際航廈1樓入境大廳）,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000004,TourismServiceSite,Zh_tw,基隆火車站旅遊服務中心,,(02)24287664,,基隆市,仁愛區,港西街5-1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000005,TourismServiceSite,Zh_tw,臺北火車站旅遊服務中心,,(02)23123256,,臺北市,中正區,北平西路3號(臺北車站1F大廳西南側),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000006,TourismServiceSite,Zh_tw,松山機場旅遊服務中心,,(02)25464741,,臺北市,松山區,敦化北路340-10號(松山機場第二航廈到站大廳),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000008,TourismServiceSite,Zh_tw,捷運西門站旅遊服務中心,,(02)23753096,,臺北市,中正區,寶慶路32-1號B1(近臺北捷運西門站5號出口),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000009,TourismServiceSite,Zh_tw,捷運劍潭站旅遊服務中心,,(02)28830313,,臺北市,士林區,中山北路五段65號(臺北捷運劍潭站1號出口),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000010,TourismServiceSite,Zh_tw,捷運臺北101/世貿站旅遊服務中心,,(02)27586593,,臺北市,信義區,信義路五段20號B1(臺北捷運台北101/世貿站5號出口),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000011,TourismServiceSite,Zh_tw,捷運龍山寺站旅遊服務中心,,(02)23025903,,臺北市,萬華區,西園路一段153號B1(近臺北捷運龍山寺站1號出口),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000012,TourismServiceSite,Zh_tw,瑞芳火車站旅遊服務中心,,(02)24973813,,新北市,瑞芳區,明燈路三段82號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000013,TourismServiceSite,Zh_tw,捷運新店站旅遊服務中心（配合施工，暫停服務）,,(02)29188509,,新北市,新店區,北宜路一段2號旁,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000014,TourismServiceSite,Zh_tw,捷運淡水站旅遊服務中心,,(02)26267613,,新北市,淡水區,中正路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000015,TourismServiceSite,Zh_tw,板橋火車站旅遊服務中心,,(02)29657806,,新北市,板橋區,縣民大道二段7號B1,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000016,TourismServiceSite,Zh_tw,中壢火車站旅遊服務中心,,(03)4266216,,桃園市,中壢區,中和路139號(前站出口旁),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000017,TourismServiceSite,Zh_tw,高鐵桃園站旅遊服務中心,,(03)4532921,,桃園市,中壢區,高鐵北路一段6號(高鐵桃園站1號出口旁),A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000018,TourismServiceSite,Zh_tw,桃園火車站旅遊服務中心,,(03)3673743,,桃園市,桃園區,中正路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000019,TourismServiceSite,Zh_tw,新竹火車站旅遊服務中心,,(03)5258977,,新竹市,東區,中華路二段445號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000021,TourismServiceSite,Zh_tw,高鐵新竹站旅遊服務中心,,(03)6100036,,新竹縣,竹北市,高鐵七路6號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000022,TourismServiceSite,Zh_tw,苗栗火車站旅遊服務中心,,(037)263048,,苗栗縣,苗栗市,為公路1號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000023,TourismServiceSite,Zh_tw,竹南火車站旅遊服務中心,,(037)462941,,苗栗縣,竹南鎮,中山路166號2樓,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000024,TourismServiceSite,Zh_tw,高鐵苗栗站旅遊服務中心,,(037)245665,,苗栗縣,後龍鎮,高鐵三路268號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000025,TourismServiceSite,Zh_tw,臺中國際機場旅遊服務中心,,(04)26155029,,臺中市,沙鹿區,中航路一段168號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000026,TourismServiceSite,Zh_tw,臺中火車站旅遊服務中心,,(04)22212126,,臺中市,中區,臺灣大道一段1號2F,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
TourismServiceSite_A15010000H_000027,TourismServiceSite,Zh_tw,高鐵臺中站旅遊服務中心,,(04)36006646,,臺中市,烏日區,站區二路8號,A15010000H,交通部觀光署,9/17/2025 2:00:04 AM
