唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Trail_345040000G_000200,Trail,Zh_tw,南澳古道,南澳古道位在南澳鄉金洋村，是通往泰雅族舊部落的路徑之一，為「舊武塔古道」的一部分，也是泰雅族的傳統獵場。自旋檀駐在所遺址起，循南澳南溪上溯至古道終點，至合流溪與南澳南溪匯流口，共 3.8 公里。沿途平緩好走，野生動植物生態豐富，沿途有吊橋遺址、警備道路基等遺跡。,(03)9981060,,宜蘭縣,南澳鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000400,Trail,Zh_tw,金瓜寮魚蕨步道,金瓜寮魚蕨步道位於新北市坪林區，步道南北端皆可出入。步道有拱橋及觀景平臺，有較多階梯，走出南出口後向南續行可連接到新北市坪林區公所轄管的觀魚蕨類步道。全線沿著金瓜寮溪蜿蜒行進，溪水淙淙，可觀苦花魚、馬口魚等，亦有多種蕨類，適合親子出遊。,(02)33437640,,新北市,坪林區,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000500,Trail,Zh_tw,拳頭姆自然步道,"海拔三百多公尺的拳頭姆山位於宜蘭縣三星鄉境內天送埤地區，步道入口位於臺7丙9.5公里處，步道坡度平緩，行走輕鬆，步道環境為烏心石造林地，有豐富的蕨類與多樣的植物，隨著時序變化展現不同風情，也為鳥類及各種小生物提供良好的棲息環境；登頂可以俯瞰蘭陽溪及蘭陽平原，遙望中央山脈與雪山山脈。 

拳頭姆步道原為荒草蔓生的舊林道，經林業及自然保育署以自然工法施設整修、並搭建觀景平臺，成為穿梭在林業及自然保育署羅東事業區47林班烏心石與肖楠造林地的生態步道。以如拳頭般山頭命名的拳頭姆步道，於民國96年9月中旬啟用。
",(03)9580168,,宜蘭縣,三星鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000600,Trail,Zh_tw,松羅步道,"松羅步道依昔日泰雅獵徑整修而成。步道沿著松羅溪而行，林蔭蒼蒼，溪水淙淙，著生殖物繁盛，是步道最大的特色。低海拔及濕潤的環境，造就了雨林般的森林植被原始景觀。沿途松羅溪一路陪伴，可以在水中清楚看到近年保育的成果「臺灣?魚」優游其中，似乎也能感受到牠們的自在與喜樂。步道最讓人驚豔的是擁有其他步道無法相比的濕生動植物，以生意盎然的姿態在此生長，如濃密的山蘇隧道、大面積蕨類植物、隨處飛舞的蜻蜓等，彷彿置身亞馬遜。
為了維護原始生態環境，自然步道皆是就地取材施作，儘量不使用違背原始自然生態的人工建材，因此行走起來特別舒服、也特別能融入於這片美麗的自然中。
",(03)9882514,,宜蘭縣,大同鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000700,Trail,Zh_tw,礁溪跑馬古道,"跑馬古道早期是先民搬運貨物或日軍巡邏、運輸補給的路線，雖時至今日，古道已翻修拓寬，但早期便於搬運的圓木枕和拖運的木馬仍有部份保留，讓現代人雖然是以悠閒的步調走訪，卻仍能夠感受到先人們匆匆不懈的勤奮步伐，更能體認到臺灣早期開墾的辛苦。 

一走進古道，就可感受到樹林間吹來的清涼微風和芬多精，十分涼爽舒適，道路寬廣且坡度平緩好走，多以碎石道路居多，沿途更有可瞭望蘭陽平原、龜山島之路段、廢棄礦坑、柑橘果園、溪流等，適合闔家前往。
",(03)9882514,,宜蘭縣,頭城鎮,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000800,Trail,Zh_tw,林美石磐步道,"林美石磐步道有著低海拔亞熱帶溪谷的景色，步道沿舊水圳整建，現寬敞平緩好走、又不失幽幽古意；沿途生態豐富，樹林成蔭，潺潺流水，散發陣陣芬多精，走在其中清爽無比，非常適合闔家一起健行。 

步道名稱是由「林美」與「石磐」兩個名字組成，「林美」是指礁溪鄉林美村，而「石磐」指的是石磐瀑布，因此在這條步道中沿途常見溪流瀑布、大小不一的水潭與峽谷地形，景色秀麗，有「宜蘭的小太魯閣」之稱。當陽光透過樹葉射在步道上時，光影迷人，時有樹蛙及昆蟲在葉片上休息，是一條可以呼吸到大自然生動氣息的野趣步道。
",(03)9882514,,宜蘭縣,礁溪鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_000900,Trail,Zh_tw,聖母登山步道,聖母登山步道位於宜蘭縣礁溪鄉五峰旗瀑布風景區上方，為天主教徒的朝聖之路，亦是前往蘭陽五岳之一的三角崙山之中繼站。終點的觀景平臺是宜蘭與臺北行政疆界，東臨蘭陽平原、西枕雪山山脈層巒疊翠；而稜線迎風面箭竹綠海隨風飄動、沙沙歌聲，美得讓人駐足忘返。,(03)9882514,,宜蘭縣,礁溪鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_001100,Trail,Zh_tw,新寮瀑布步道,新寮瀑布步道於宜蘭冬山中山村進入，沿著新寮溪溪谷溯源而上，全長1.2k。新寮溪因斷層地形發達，形成多座瀑布。步道林相豐富，生態多樣，流水潺潺，蛙鳴鳥語，極適合闔家出遊。第一層步道的前0.9k較為平坦，0.9k後的石階路較陡，但沿路更多激流斜瀑景致。,(03)9580169,,宜蘭縣,冬山鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_001200,Trail,Zh_tw,九寮溪自然步道,步道傍溪而行，終年溫暖潮濕。九寮溪由源自於雪山山脈拳頭姆山下的野溪匯集而成，水量充沛，溪水清澈，水溫近乎冷泉，流經多處斷層形成壯觀宏偉的飛瀑。步道入口位於大同鄉公所管轄九寮溪生態園區，步道全線為平坦土石路，輕鬆好走直達瀑布，林蔭茂密、附生植物及蕨類繁盛。,(03)9882514,,宜蘭縣,大同鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
Trail_345040000G_001300,Trail,Zh_tw,台灣山毛櫸步道,臺灣山毛櫸步道為太平山森林遊樂區內較長的一條步道。前段較為平坦但雨天多泥濘；2.5公里後坡度變化較大，去程多為下坡，回程為上坡。步道沿途可見殘留的纜線、鐵道路基及轉轍器等林業遺跡，亦可觀察板岩岩壁、翠綠苔蘚、紅檜林、柳杉林、山櫻花林。終點的休閒平臺可眺望銅山上臺灣最大面積的山毛櫸原始林，秋天黃葉耀金，常有遊客慕名而來。,(03)9545114,,宜蘭縣,南澳鄉,,345040000G,林業保育署,9/18/2025 1:49:53 AM
