唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
CyclingRoute_376530000A_000001,CyclingRoute,Zh_tw,紅線/單車國道,"車道總長約47.98公里，以九如鄉為路線起點，一路向南至林邊鄉。利用南二高橋下的道路，打造出不受日曬雨淋的騎乘空間，並結合各式蘭花、蕨類、其他花木、藝術家漂流木創作等交織成綠野藝術廊道，騎乘間除欣賞阡陌田宅鄉村景致外，更可盡情享受兼具人文、充滿綠茵的休閒空間。

車道沿途經過長治鄉，可先到農業生物科技園區走訪，那有色彩斑斕的觀賞水族展示廳可觀賞；再往南騎乘會經過內埔鄉、麟洛鄉、潮州鄉等客家小鎮，可感受客家村落的人情風味，而六堆客家文化園區展示了豐富的台灣客家文化和各式特展，為另一特色景點，富含休憩功能與文化傳習價值，也是單車國道上適合親子遊的地方。

在愜意的單車國道騎乘之餘，不妨來趟人文歷史之旅，探訪在地風情，與純樸的鄉鎮來場假日午後邂逅吧。",(08)7320415,,屏東縣,九如鄉,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000002,CyclingRoute,Zh_tw,橙線/橫貫路線-文化資產國家公園大學行,由單車國道橫貫路線主要分為兩段，其中一條由單車國道連接科大路，全長約10.25公里。不論是騎乘林後平地森林園區路段或是單車國道連接科大路段，皆能欣賞路邊的田野風光，在鄉道之間漫遊，徐徐微風吹拂，放眼望去的景致，使人盡情沉浸在自然環境的洗禮中，愜意自在享受屏東溫暖。連接科大路，全長約10.25公里，不論是騎乘林後平地森林園區路段或是單車國道連接科大路段，皆能欣賞路邊的田野風光，在鄉道之間漫遊，徐徐微風吹拂，放眼望去的景致，使人盡情沉浸在自然環境的洗禮中，愜意自在享受屏東溫暖。,(08)7320415,,屏東縣,麟洛鄉,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000003,CyclingRoute,Zh_tw,橙線/橫貫路線-來趣追逐打卡地標,橫貫路線主要分為兩段，另外則是從188縣道接單車國道、林後平地森林園區路段，全長約17.43公里。不論是騎乘林後平地森林園區路段或是單車國道連接科大路段，皆能欣賞路邊的田野風光，在鄉道之間漫遊，徐徐微風吹拂，放眼望去的景致，使人盡情沉浸在自然環境的洗禮中，愜意自在享受屏東溫暖。,(08)7320415,,屏東縣,萬丹鄉,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000004,CyclingRoute,Zh_tw,黃線/海岸藍帶,車道總長約24.94公里，行經東港鎮的大鵬灣一帶，路線沿著海線一路向南，沿途經過林邊鄉、佳冬鄉、枋寮鄉等鄉鎮，終點位於枋寮車站附近。枋寮車站是西部縱貫鐵路的終點，亦是南迴鐵路站的起點，為鐵路交通的轉折點。當地養殖魚業蓬勃發展，成為地方景觀特色，附近漁村與懷舊的古厝展現過去傳統建築的工藝技術，是條兼具風景與歷史的人文單車路線，一同騎乘探訪昔日文化吧。,(08)7320415,,屏東縣,東港鎮,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000005,CyclingRoute,Zh_tw,綠線/沿山綠廊自行車道,車道總長約71.18公里，緊鄰185沿山公路縣道，自高樹大津瀑布往南行經瑪家鄉、泰武鄉、沿山休閒農業園區至新埤鄉等處，沿線擁有雋永的原民文化、豐富在地物產與得天獨厚的自然景觀資源，穿梭在沿山公路的自行車道上充滿綠意的廊道，放眼望去盡是濃密綠蔭，能盡情享受著大自然芬多精，沿途亦可見多處原住民部落，是條山巒美景與部落風情兼具的特色車道。車道路線有起有伏，不經意的轉彎處就可迎來不一樣的風景，雖然沿山自行車道有些許崎嶇蜿蜒，但在騎乘時也增加不少挑戰性和驚喜發現。,(08)7320415,,屏東縣,高樹鄉,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000006,CyclingRoute,Zh_tw,藍線/水岸藍帶,車道總長約91.12公里，橫跨長治鄉、鹽埔鄉、九如鄉、屏東市、萬丹鄉、新園鄉、等鄉鎮，在屏東河濱公園有「下淡水溪舊鐵橋」著名景點，在這除了飽覽高屏溪遼闊的河岸風景，河床地綠意滿滿的植被，河畔徐徐微風吹拂，使人心曠神怡。萬丹鄉、新園鄉交界一帶亦有泥火山特殊的地質景觀，幸運的話還可以撞見泥火山噴發的特殊場景，是條滿盈自然景觀的自行車道。,(08)7320415,,屏東縣,三地門鄉,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000007,CyclingRoute,Zh_tw,靛線/單車鐵道,車道總長約22.85公里，沿途行經屏東市區、麟洛鄉、竹田鄉、潮州鎮等鄉鎮，從屏東車站出發，行經屏東最新奪下美國繆斯設計獎首獎的「屏東縣民公園」，由荒廢27年的台糖舊紙漿廠改建而成，結合現代簡約風格與歷史遺構，變身為必訪的絕美打卡景點。車道至西勢車站後，沿途亦有許多觀光景點，其中不少景點與客家歷史文化相關，除了融入客家風情外，也能深入村里的生活圈，路上偶爾會巧遇從一旁經過的火車，清風徐徐，火車經過時的轟隆聲響、盡情享受著清風陣陣吹拂，賦有滿滿古早風味，增添騎乘自行車的樂趣。,(08)7320415,,屏東縣,屏東市,,376530000A,屏東縣政府,9/16/2024 8:15:18 AM
CyclingRoute_376530000A_000008,CyclingRoute,Zh_tw,紫線/環(支)島線,車道路線由山線與海線交織而成，全長約258.76公里，沿途伴隨著綿延的山巒與遼闊的海岸風景，騎乘至恆春半島時更可沿著蔚藍海岸邊騎行，海天一色自在遨遊，迎著海風徐徐前行實在太享受！其中車城鄉著名的福安宮及沿路上的景點，讓遊客可深入瞭解在地的人文與風景，更有許多在地特色美食，是一條兼具人文、美景與美食的自行車道。,(08)7320415,,屏東縣,枋寮鄉,,376530000A,屏東縣政府,9/16/2024 8:15:19 AM
CyclingRoute_376530000A_000009,CyclingRoute,Zh_tw,糖鐵自行車道,糖鐵自行車道輔獲選全國「騎亮台灣-最讚亮點自行車道」的「特選佳作自行車」將台糖五分車廢棄舊鐵道活化成自行車道系統，全長約30.61公里，連結185縣道沿山公路，串起萬巒鄉、潮州鄉、崁頂鄉、南州鄉與林邊鄉等5鄉鎮的觀光景點，透過自行車視野，展現低碳、慢活兼具休閒的屏東小鎮新風貌。,(08)7320415,,屏東縣,萬巒鄉,,376530000A,屏東縣政府,9/16/2024 8:15:19 AM
CyclingRoute_376530000A_000010,CyclingRoute,Zh_tw,大鵬灣&小琉球線,"大鵬灣段車道全長約31.7公里
大鵬灣擁有潟湖景觀、豐富的自然生態資源、有東港小巨蛋之稱的新一代地標濱灣之心等景點，提供遊客悠遊環湖的追風之旅。騎乘在車道上望向百畝魚塭，另一頭是一望無際的壯闊大海，午後落日餘暉晚霞點綴，更是愜意撩人，騎乘之餘別忘了到東港華僑市場品嚐物美價廉的海產美食，也別忘記購買伴手禮帶回家和親友們分享喔。

?小琉球全長約13.2公里
位在台灣南部外海的島嶼，其溫暖的海水孕育千種以上的珊瑚礁，最顯眼知名的花瓶岩地標，隨著燦烈的光影移動與四季的變換，讓花瓶岩呈現不同的風貌，島上的珊瑚群礁自然景觀與絕美的海岸風景，宛若仙境般，洋溢著海島風情，騎著自行車馳騁小琉球線，使人放鬆享受愜意的騎乘之旅。",(08)7320415,,屏東縣,琉球鄉,,376530000A,屏東縣政府,9/16/2024 8:15:19 AM
