唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Restaurant_376430000A_000016,Restaurant,Zh_tw,佳樂蛋糕,以波士頓派聞名美食界，並且讓網友大力推薦的佳樂蛋糕，鬆軟、甜而不膩的幸福口感，一直是桃園人的最愛，不論當下午茶點心還是生日蛋糕，都讓人面子裡子十足。建議遊客必點原味或巧克力口味的波士頓派，絕對令人意猶未盡。,(03)3335339,,桃園市,桃園區,民生路124號,376430000A,桃園市政府觀光旅遊局,7/14/2025 12:00:28 PM
Restaurant_376430000A_000018,Restaurant,Zh_tw,正記中崎本舖,第一屆桃園十大伴手禮-布丁蛋糕禮盒第二屆、第三屆桃園十大伴手禮-中崎布丁蛋糕逛完景福宮大廟，遊客們絕不會錯過廟後正記中崎本舖的中崎布丁蛋糕。道地傳統奶油式的蛋糕作法，細嫩香軟的精湛口味，是當地人生日蛋糕與下午茶的最佳選擇之一。馳名全台布丁蛋糕，歷年來榮獲無數食品評競金牌獎。口味獨特、用料實在、奶香濃郁、綿密細緻，獨一無二的口味廣受大眾喜愛，遠近馳名。,(03)3370880,,桃園市,桃園區,中正路219號,376430000A,桃園市政府觀光旅遊局,7/17/2025 1:05:24 PM
Restaurant_376430000A_000019,Restaurant,Zh_tw,郭祿食品有限公司,第一屆桃園十大伴手禮：郭祿月靜禮盒桃園老字號的伴手禮名店，以香Q又不黏牙的牛軋糖聞名全國，搭配香酥綿密口感的鳳梨酥與蛋黃酥，三項特色名點組成的月靜禮盒，不但吃出老師傅珍藏手藝的美味，送禮更是體面。第二屆桃園十大伴手禮：郭祿台灣情牛軋糖禮盒牛軋糖不黏牙充滿咬勁的本土特選香脆花生，鳳梨酥嚴選上等原料加上手工製造皮酥餡軟，甜而不膩，芝麻本身就有很多對身體有益的元素，選用上等芝麻加上特製麥芽，打開後芝麻香讓人想要一口接一口，軟硬適中。此外本禮盒獲得綠色環保認證，符合現代人環保觀念，送禮得體又大方。第三屆桃園十大伴手禮：溫馨禮盒第五屆桃園十大伴手禮：土地公禮盒,(03)3385156,,桃園市,桃園區,中山路252號,376430000A,桃園市政府觀光旅遊局,7/14/2025 1:21:06 PM
Restaurant_376430000A_000024,Restaurant,Zh_tw,郭記名點,榮獲桃園市十大伴手禮，以四十年的老到功力聞名，老闆郭先進夫妻和赴日鑽研的兒子郭雨函，用專業經營和精湛的烘培技術，將號稱名點三寶的牛軋糖、名點酥、銅鑼燒，提升烘培質感境界，帶出了小點的品味美學，不僅名點酥、牛軋糖令人讚不絕口，全新口味的銅鑼燒更是賣得強強滾，不但縣內佔有一席之地，一直以來更是從國家大門桃園出發，受歐美日各地外國顧客的青睞，得獎無數，是代表在地精神之頂尖技藝產品。 第一屆桃園十大伴手禮：桃園鳳梨酥禮盒以最能代表臺灣之鳳梨酥為主角，輔以國際知名法式塔類點心烘焙技法，製成台法點心頂級工藝。外酥內軟的層次感，入口即化，流瀉出濃郁的香醇口感，是點心中的上品。第二屆桃園十大伴手禮2009桃園市十大伴手禮：生銅鑼燒內餡採用日本近年流行的洋菓子銅鑼燒餡料製作方式，外皮更下了很大的功夫，採用位於...,(03)3355135,,桃園市,桃園區,民安路140號,376430000A,桃園市政府觀光旅遊局,7/14/2025 1:07:39 PM
Restaurant_376430000A_000034,Restaurant,Zh_tw,老賊壽司,老賊壽司的店面不大，只賣壽司、味噌湯和蒸蛋，但壽司的口味多達一、二十種老少咸宜，因裡面座位不多，當地桃園人喜歡打包帶回家，十分方便。,(03)3360935,,桃園市,桃園區,中正路328號,376430000A,桃園市政府觀光旅遊局,9/10/2025 4:41:16 PM
Restaurant_376430000A_000045,Restaurant,Zh_tw,灶腳小館,2022金牌好店 推薦菜色：蟹黃豆腐煲、松坂杏鮑菇、蜜汁老油條、鹹蛋軟絲、水煮牛肉、宮保雞丁、酸筍肉片湯、糖醋黃魚灶腳在地服務已逾20餘年，專研中國南方傳統料理，擅長挑選新鮮食材與創意結合，創出符合地區性的獨特菜色料理，堅持認真選用，天然食材巧妙調配複雜多樣的辛香料，不僅料到、物到、火候到色、香、味的完美呈現，長期以樹立口碑，客源絡繹不絕。古色古香的用餐環境另客人頗有穿越時空的感受。《灶腳小館》這招牌早已成為桃園區內川湘創意料理餐館的名詞，儼然成為當地頗負盛名餐館。（資料來源 : 本府經濟發展局）,(03)3571356,,桃園市,桃園區,大興路218號,376430000A,桃園市政府觀光旅遊局,3/20/2025 9:27:30 AM
Restaurant_376430000A_000056,Restaurant,Zh_tw,金河冬粉丸,招牌餐「冬粉丸」是饕客每到必點的餐。美味的福州魚丸，更是不可錯過。,(03)3377638,,桃園市,桃園區,復興路342號,376430000A,桃園市政府觀光旅遊局,9/10/2025 5:03:24 PM
Restaurant_376430000A_000071,Restaurant,Zh_tw,元發飲食店,營業從1947年至今，超過一甲子的美味老店！來這邊不能錯過的就是由原創人李許溫治研究改良而成的「控肉」，以肉質紮實的黑豬肉為原料，佐上上等的醬油醃製蒸煮後曬乾備用，上桌前再油炸，成為本店名菜！招牌：香菇八吃、炒山豬肉、清蒸鱒魚、溪蝦、炒桂竹筍。 貼心提醒：●如需享用晚餐可提前撥電話與店家預約。●開車建議停在上台地停車場，步行約一分鐘。●平均消費$150~$350／每人。,(03)3822860,,桃園市,復興區,澤仁里中山路13之1號,376430000A,桃園市政府觀光旅遊局,7/14/2025 11:15:51 AM
Restaurant_376430000A_000073,Restaurant,Zh_tw,桃園觀光夜市,桃園觀光夜市位於桃園區中正路旁，每日夜幕垂降，綿延的巷弄陸續燈火通明，成為民眾夜間休閒消磨時間的好去處。眾多攤商店家集結在北埔路、正康二街及正康一街的巷弄分支間，販售類別一應俱全，琳瑯滿目，其中多樣的人氣美食更無法一言盡之，來一趟桃園觀光夜市，絕對不虛此行!,(03)3322101,,桃園市,桃園區,中正路與北埔路口,376430000A,桃園市政府觀光旅遊局,3/19/2025 11:21:40 AM
Restaurant_376430000A_000078,Restaurant,Zh_tw,七號公路義式咖啡館,北橫的台7線到了角板山的叉路口，可左轉進入一家十分雅致的地中海風餐廳「七號公路」，提供的餐飲以西式排餐為主，不論是黑胡椒去骨牛小排、德國豬腳，或是香草雞排，樣樣都是經典美食，最特別的是老闆娘親自烹調的米蘭碳烤豬肋排，微焦表皮下面，有著鮮美的肉感，讓人回味無窮！除了品嚐美食，您可以選擇靠近溪谷的庭院座椅，欣賞山稜的美麗景觀，讓味覺、視覺和觸覺，都達到極度舒暢的境界。貼心提醒：●有停車位。●週二公休。●平均消費：$300~$450／每人。●可使用國民旅遊卡。●晚間店家可能休息喔，如需享用晚餐可提前撥電話與店家預約。,(03)3822997,,桃園市,復興區,澤仁村詩朗14號之1,376430000A,桃園市政府觀光旅遊局,3/19/2025 11:40:13 AM
